2018-11-08 13:16:13.5235 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:16:13.5235 | DEBUG | Logger | GetAllMethAndSelectOneRandomId_Get
2018-11-08 13:16:13.5235 | DEBUG | Logger | Passed
2018-11-08 13:16:14.5132 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:16:14.5132 | DEBUG | Logger | CreateProjectWithRandomMethodology_Post
2018-11-08 13:16:14.5132 | DEBUG | Logger | Passed
2018-11-08 13:16:53.8327 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:16:53.8555 | DEBUG | Logger | AddProjectPopUpOpened_Projects_Get
2018-11-08 13:16:53.8584 | DEBUG | Logger | Passed
2018-11-08 13:16:54.8771 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:16:54.8771 | DEBUG | Logger | GetAllMethAndSelectOneRandomId_Get
2018-11-08 13:16:54.8771 | DEBUG | Logger | Passed
2018-11-08 13:16:55.4412 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:16:55.4412 | DEBUG | Logger | CreateProjectWithRandomMethodology_Post
2018-11-08 13:16:55.4412 | DEBUG | Logger | Failed
2018-11-08 13:17:30.2437 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:17:30.2685 | DEBUG | Logger | AddProjectPopUpOpened_Projects_Get
2018-11-08 13:17:30.2685 | DEBUG | Logger | Passed
2018-11-08 13:17:31.2415 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:17:31.2415 | DEBUG | Logger | GetAllMethAndSelectOneRandomId_Get
2018-11-08 13:17:31.2415 | DEBUG | Logger | Passed
2018-11-08 13:17:32.3419 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:17:32.3419 | DEBUG | Logger | CreateProjectWithRandomMethodology_Post
2018-11-08 13:17:32.3419 | DEBUG | Logger | Passed
2018-11-08 13:24:19.5024 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-08 13:24:19.5208 | DEBUG | Logger | AddingProjectAndCanceling
2018-11-08 13:24:19.5208 | DEBUG | Logger | Failed
2018-11-08 13:24:30.6419 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-08 13:24:30.6419 | DEBUG | Logger | AddingProjectStartDateError
2018-11-08 13:24:30.6439 | DEBUG | Logger | Failed
2018-11-08 13:30:32.4225 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-08 13:30:32.4403 | DEBUG | Logger | AddingProjectAndCanceling
2018-11-08 13:30:32.4403 | DEBUG | Logger | Passed
2018-11-08 13:30:35.6734 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-08 13:30:35.6734 | DEBUG | Logger | AddingProjectStartDateError
2018-11-08 13:30:35.6734 | DEBUG | Logger | Passed
2018-11-08 13:41:35.4474 | DEBUG | Logger | Deloitte.APITests.Test_API_AddMethodology
2018-11-08 13:41:35.4698 | DEBUG | Logger | AddMethodologiesPageOpened_Get
2018-11-08 13:41:35.4698 | DEBUG | Logger | Passed
2018-11-08 13:41:36.3183 | DEBUG | Logger | Deloitte.APITests.Test_API_AddMethodology
2018-11-08 13:41:36.3183 | DEBUG | Logger | AddMethodology_Post
2018-11-08 13:41:36.3183 | DEBUG | Logger | Passed
2018-11-08 13:41:37.9768 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 13:41:37.9768 | DEBUG | Logger | AddMethodology_Post
2018-11-08 13:41:37.9768 | DEBUG | Logger | Failed
2018-11-08 13:41:39.1057 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 13:41:39.1057 | DEBUG | Logger | CreateProject_Post
2018-11-08 13:41:39.1057 | DEBUG | Logger | Failed
2018-11-08 13:41:40.3616 | DEBUG | Logger | Deloitte.APITests.Test_API_SelectReportTemplate
2018-11-08 13:41:40.3616 | DEBUG | Logger | SelectReportTemplate
2018-11-08 13:41:40.3616 | DEBUG | Logger | Passed
2018-11-08 13:41:41.0342 | DEBUG | Logger | Deloitte.MultipleDataOverview
2018-11-08 13:41:41.0342 | DEBUG | Logger | Test_DataOverview_14_Requests
2018-11-08 13:41:41.0342 | DEBUG | Logger | Passed
2018-11-08 13:41:48.3071 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:41:48.3071 | DEBUG | Logger | AddProjectPopUpOpened_Projects_Get
2018-11-08 13:41:48.3071 | DEBUG | Logger | Passed
2018-11-08 13:41:56.2519 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:41:56.2519 | DEBUG | Logger | GetAllMethAndSelectOneRandomId_Get
2018-11-08 13:41:56.2519 | DEBUG | Logger | Passed
2018-11-08 13:42:00.8057 | DEBUG | Logger | Deloitte.Test_API_AddNewProject
2018-11-08 13:42:00.8057 | DEBUG | Logger | CreateProjectWithRandomMethodology_Post
2018-11-08 13:42:00.8057 | DEBUG | Logger | Failed
2018-11-08 13:42:02.2096 | DEBUG | Logger | Deloitte.Test_API_ConfigureProject
2018-11-08 13:42:02.2096 | DEBUG | Logger | GetAllProjectsAndOneRandomId
2018-11-08 13:42:02.2096 | DEBUG | Logger | Passed
2018-11-08 13:42:02.6561 | DEBUG | Logger | Deloitte.Test_API_ConfigureProject
2018-11-08 13:42:02.6616 | DEBUG | Logger | ConfigureRandomProject_Post
2018-11-08 13:42:02.6616 | DEBUG | Logger | Passed
2018-11-08 13:42:16.9322 | DEBUG | Logger | Deloitte.Test_EndToEndMethAndProj
2018-11-08 13:42:16.9322 | DEBUG | Logger | Test_CreateMethodology
2018-11-08 13:42:16.9322 | DEBUG | Logger | Failed
2018-11-08 13:42:17.4871 | DEBUG | Logger | Deloitte.Test_EndToEndMethAndProj
2018-11-08 13:42:17.4871 | DEBUG | Logger | AddingProjectWithMethFromTest1
2018-11-08 13:42:17.4871 | DEBUG | Logger | Failed
2018-11-08 13:43:00.8938 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 13:43:00.8938 | DEBUG | Logger | LoginWithInValidCredentials("qwerty","12345")
2018-11-08 13:43:00.8938 | DEBUG | Logger | Passed
2018-11-08 13:43:03.2264 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 13:43:03.2264 | DEBUG | Logger | LoginWithInValidCredentials("gp_integrator","!@#!$@!$#")
2018-11-08 13:43:03.2264 | DEBUG | Logger | Passed
2018-11-08 13:43:05.5288 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 13:43:05.5288 | DEBUG | Logger | LoginWithInValidCredentials("12345","Dummy#123")
2018-11-08 13:43:05.5288 | DEBUG | Logger | Passed
2018-11-08 13:43:07.7499 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 13:43:07.7499 | DEBUG | Logger | LoginWithInValidCredentials("   gp_integrator   ","Dummy#123")
2018-11-08 13:43:07.7499 | DEBUG | Logger | Passed
2018-11-08 13:43:09.6099 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 13:43:09.6099 | DEBUG | Logger | LoginWithInValidCredentials("gp_integrator   ","Dummy#123")
2018-11-08 13:43:09.6099 | DEBUG | Logger | Passed
2018-11-08 13:43:10.9952 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 13:43:10.9952 | DEBUG | Logger | LoginWithInValidCredentials("GP_INTEGRATORÊ","Dummy#123")
2018-11-08 13:43:10.9952 | DEBUG | Logger | Passed
2018-11-08 13:43:12.5878 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 13:43:12.5878 | DEBUG | Logger | LoginWithValidCredentials
2018-11-08 13:43:12.5878 | DEBUG | Logger | Passed
2018-11-08 13:43:13.5508 | DEBUG | Logger | DeloitteTests.Tests_LogInPage
2018-11-08 13:43:13.5508 | DEBUG | Logger | Test_NavigateToLink_LoginPageOpened
2018-11-08 13:43:13.5508 | DEBUG | Logger | Passed
2018-11-08 13:43:38.8717 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-08 13:43:38.8717 | DEBUG | Logger | AddingProjectAndCanceling
2018-11-08 13:43:38.8762 | DEBUG | Logger | Failed
2018-11-08 13:43:39.4376 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-08 13:43:39.4376 | DEBUG | Logger | AddingProjectStartDateError
2018-11-08 13:43:39.4376 | DEBUG | Logger | Failed
2018-11-08 16:00:19.3274 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-08 16:00:19.3458 | DEBUG | Logger | AddingProjectAndCanceling
2018-11-08 16:00:19.3458 | DEBUG | Logger | Passed
2018-11-08 16:00:22.7839 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-08 16:00:22.7839 | DEBUG | Logger | AddingProjectStartDateError
2018-11-08 16:00:22.7839 | DEBUG | Logger | Passed
2018-11-08 16:00:38.0477 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 16:00:38.0665 | DEBUG | Logger | AddMethodology_Post
2018-11-08 16:00:38.0665 | DEBUG | Logger | Passed
2018-11-08 16:00:39.2157 | DEBUG | Logger | Deloitte.APITests.Test_API_EndToEndMethAndProj
2018-11-08 16:00:39.2157 | DEBUG | Logger | CreateProject_Post
2018-11-08 16:00:39.2157 | DEBUG | Logger | Passed
2018-11-09 16:42:38.6865 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-09 16:42:38.7058 | DEBUG | Logger | JustTesting
2018-11-09 16:42:38.7078 | DEBUG | Logger | Passed
2018-11-09 16:45:49.7784 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-09 16:45:49.7987 | DEBUG | Logger | JustTesting
2018-11-09 16:45:49.7987 | DEBUG | Logger | Passed
2018-11-09 16:46:25.2142 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-09 16:46:25.2360 | DEBUG | Logger | JustTesting
2018-11-09 16:46:25.2360 | DEBUG | Logger | Failed
2018-11-09 16:47:15.5299 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-09 16:47:15.5502 | DEBUG | Logger | JustTesting
2018-11-09 16:47:15.5502 | DEBUG | Logger | Passed
2018-11-12 12:27:14.9621 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-12 12:27:14.9809 | DEBUG | Logger | JustTesting
2018-11-12 12:27:14.9809 | DEBUG | Logger | Failed
2018-11-12 12:28:20.0996 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-12 12:28:20.1180 | DEBUG | Logger | JustTesting
2018-11-12 12:28:20.1180 | DEBUG | Logger | Passed
2018-11-12 12:29:19.1742 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-12 12:29:19.2019 | DEBUG | Logger | JustTesting
2018-11-12 12:29:19.2019 | DEBUG | Logger | Passed
2018-11-12 12:29:52.9149 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-12 12:29:52.9372 | DEBUG | Logger | JustTesting
2018-11-12 12:29:52.9372 | DEBUG | Logger | Passed
2018-11-12 12:30:22.7532 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-12 12:30:22.7720 | DEBUG | Logger | JustTesting
2018-11-12 12:30:22.7720 | DEBUG | Logger | Passed
2018-11-12 12:31:01.0548 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-12 12:31:01.0776 | DEBUG | Logger | JustTesting
2018-11-12 12:31:01.0776 | DEBUG | Logger | Failed
2018-11-12 12:31:36.1966 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-12 12:31:36.2228 | DEBUG | Logger | JustTesting
2018-11-12 12:31:36.2228 | DEBUG | Logger | Failed
2018-11-12 12:32:16.7798 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-12 12:32:16.8001 | DEBUG | Logger | JustTesting
2018-11-12 12:32:16.8001 | DEBUG | Logger | Failed
2018-11-12 12:35:57.7677 | DEBUG | Logger | DeloitteTests.Tests_AddingNewProject
2018-11-12 12:35:57.7880 | DEBUG | Logger | JustTesting
